"","DATETIME","preclose","open","high","low","last","volume","amount"
"342",2017-03-23 09:44:27,9.16,9.16,9.22,9.15,9.21,6905994,63445344
"343",2017-03-23 09:44:30,9.16,9.16,9.22,9.15,9.21,6918194,63557706
"344",2017-03-23 09:44:33,9.16,9.16,9.22,9.15,9.2,6921894,63591773
"345",2017-03-23 09:44:36,9.16,9.16,9.22,9.15,9.21,6922394,63596378
"346",2017-03-23 09:44:39,9.16,9.16,9.22,9.15,9.21,6922394,63596378
"347",2017-03-23 09:44:42,9.16,9.16,9.22,9.15,9.21,6924094,63612030
"348",2017-03-23 09:44:45,9.16,9.16,9.22,9.15,9.21,6926094,63630450
"349",2017-03-23 09:44:48,9.16,9.16,9.22,9.15,9.21,6927894,63647028
"350",2017-03-23 09:44:51,9.16,9.16,9.22,9.15,9.2,6927994,63647948
"351",2017-03-23 09:44:54,9.16,9.16,9.22,9.15,9.21,6935094,63713339
"352",2017-03-23 09:44:57,9.16,9.16,9.22,9.15,9.21,6935294,63715181
"353",2017-03-23 09:45:00,9.16,9.16,9.22,9.15,9.2,6975494,64085123
"354",2017-03-23 09:45:03,9.16,9.16,9.22,9.15,9.2,6975494,64085123
"355",2017-03-23 09:45:06,9.16,9.16,9.22,9.15,9.2,6975494,64085123
"356",2017-03-23 09:45:09,9.16,9.16,9.22,9.15,9.21,6977694,64105385
"357",2017-03-23 09:45:12,9.16,9.16,9.22,9.15,9.21,6983194,64156040
"358",2017-03-23 09:45:15,9.16,9.16,9.22,9.15,9.21,6988794,64207616
"359",2017-03-23 09:45:18,9.16,9.16,9.22,9.15,9.21,6994994,64264718
"360",2017-03-23 09:45:21,9.16,9.16,9.22,9.15,9.21,6995994,64273928
"361",2017-03-23 09:45:24,9.16,9.16,9.22,9.15,9.21,6996894,64282216
"362",2017-03-23 09:45:27,9.16,9.16,9.22,9.15,9.21,7009794,64401025
"363",2017-03-23 09:45:30,9.16,9.16,9.22,9.15,9.21,7014594,64445233
